"catalogNumber","recordNumber","source","surveyname","dateaccuracy","recordedBy","otherCatalogNumbers","reliabdesc","easting","northing","decimalLatitude","decimalLongitude","nsxcode","scientificName","family","vernacularName","eventRemarks","habitat","verbatimLocality","reservename","language","rightsHolder","datasetName","institutionCode","country","countryCode","stateProvince","kingdom","occurrenceStatus","basisOfRecord","verbatimEventDate","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimIdentification","eventDate","establishmentMeans","geodeticDatum","identificationVerificationStatus","organismQuantity","organismQuantityType"
"OPP718004-6","OPP718004-6","OP","RRP RIVER MURRAY WETLAND SURVEYS","D","RRP RIVER MURRAY WETLAND SURVEYS  N","","5-50m",368799,6152688,-34.75953,139.56644,"M03066","Eclipta platyglossa ssp. platyglossa","COMPOSITAE","Yellow Twin-heads","FUNCTIONAL_GROUP=Tda","","Lake Bywaters;AUSWET=S0001128;ELEVATION_CM=0;DIST_M_=3.3","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","8/2/13",-34.75953,139.56644,"decimal degrees","Eclipta platyglossa ssp. platyglossa","2013-02-08","native","EPSG:20254","verified",,
"OPP799539-26","OPP799539-26","OP","BDBSA RESERVES DATABASE","D","FNS-(SA)  Field Naturalist Society","","1-10km",482115,5901513,-37.03241,140.79891,"K03101","Chrysocephalum apiculatum (NC)","COMPOSITAE","Common Everlasting","","","","Naracoorte Caves (NP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","20/11/77",-37.03241,140.79891,"decimal degrees","Chrysocephalum apiculatum (NC)","1977-11-20","native","EPSG:20254","verified",,
"OPP560050-15","OPP560050-15","OP","LOWAN MALLEE LAF FIELDWORK","D","CROFT S.J. Sonia","","251-500m",454401,6012767,-36.02855,140.49388,"Z01995","Comesperma calymega","POLYGALACEAE","Blue-spike Milkwort","","","|Source ProjectID:20|Source WaypointID:3652|","213 (HA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","29/10/14",-36.02855,140.49388,"decimal degrees","Comesperma calymega","2014-10-29","native","EPSG:20254","verified",,
"OPP555976-61","OPP555976-61","OP","UPPER TORRENS LAND MANAGEMENT PROJECT","D","PICKETT M.I. Marcus","","101-250m",309400,6142000,-34.84648,138.91532,"U04582","Caesia calliantha","LILIACEAE","Blue Grass-lily","","","DCDB Parcel ID F35551 Q2 3.7 km SE of Gumeracha","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","15/10/12",-34.84648,138.91532,"decimal degrees","Caesia calliantha","2012-10-15","native","EPSG:20254","verified",,
"SUP23318-179328","SUP23318-179328","SU","MID NORTH AND YORKE PENINSULA","D","CANTY P.D. Peter | TURNER J. Jean","","5-50m",729921,6164066,-34.63955,137.5084,"G04827","Dianella brevicaulis","LILIACEAE","Short-stem Flax-lily","","","Enter property through gate on northern boundary near edge of coastal Shrubland. Drive south along edge of cleared land for 400 metres. Site is 150 metres west in Acacia cupularis - Olearia axillaris Shrubland.","1354 (HA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","15/10/04",-34.63955,137.5084,"decimal degrees","Dianella brevicaulis","2004-10-15","native","EPSG:20253","verified",,
"RVPO95099-429419","RVPO95099-429419","RV","","D","DICKSON C.R. Cath | CARR C. Chris","","251-500m",443886,5929136,-36.7819135,140.3711339,"U30122","Asparagus asparagoides f. asparagoides","LILIACEAE","Bridal Creeper","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus diversifolia ssp. diversifolia Mallee","Woolumbool RD 4.3 km NNE of Woolumbool","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","9/5/12",-36.7819135,140.3711339,"decimal degrees","Asparagus asparagoides f. asparagoides","2012-05-09","introduced","EPSG:20254","verification required",,
"OPP632878-2","OPP632878-2","OP","LOFTY BLOCK EPBC THREATENED ORCHIDS","D","DAVIES R.J-P. Richard","","0-10m",303498,6155256,-34.7259,138.8539,"S00781","Caladenia rigida","ORCHIDACEAE","Stiff White Spider-orchid","Source ID: C. rigida Old Kersbrook Forest_GPS_RD. Original ID: 894","","Old Kersbrook Forest.","Kersbrook (NF)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","29/9/15",-34.7259,138.8539,"decimal degrees","Caladenia rigida","2015-09-29","native","EPSG:20254","verified",1,"individuals"
"OPP354007-1792427","OPP354007-1792427","OP","KI THREATENED PLANT PROJECT","D","TAYLOR D. David","","0-5m",689892,6046772,-35.70471,137.09898,"Y01772","Pultenaea villifera var. glabrescens","LEGUMINOSAE","Splendid Bush-pea","PLANTSNUM= 1; SUBPOP= B","","","670 (HA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","8/11/05",-35.70471,137.09898,"decimal degrees","Pultenaea villifera var. glabrescens","2005-11-08","native","EPSG:20253","verified",,
"OPP11348-42","OPP11348-42","OP","OFFSHORE ISLANDS","T","NOT ENTERED - SEE ORIGINAL DATA  -","","101-250m",481129,6282171,-33.60004,134.7966,"M04790","Senecio pinnatifolius (NC)","COMPOSITAE","Variable Groundsel","","","","Waldegrave Islands (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","1/7/68",-33.60004,134.7966,"decimal degrees","Senecio pinnatifolius (NC)","206","native","EPSG:20253","verified",,
"SUP15816-24","SUP15816-24","SU","COASTAL DUNE & CLIFFTOP","D","FOTHERINGHAM D.G. Doug | SANDERCOCK R.K. Ron","","5-50m",529821,6161693,-34.68633,135.32556,"W03811","Apium annuum","UMBELLIFERAE","Annual Celery","","","Site on deflated clifftop dune 20m from cliff edge and 220m at 30 degrees to 3 way intersection.","Coffin Bay (NP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","24/9/97",-34.68633,135.32556,"decimal degrees","Apium annuum","1997-09-24","native","EPSG:20253","verified",,
"SUP14276-4-AD98723118","SUP14276-4-AD98723118","SU","GAWLER","D","PREECE K.M. Kathy","AD98723118","0-5m",662379,6406250,-32.46911,136.72785,"S01213","Maireana triptera","CHENOPODIACEAE","Three-wing Bluebush","#Original cover recorded as 60% : ie The percentage of the Lifeform strata that this species represents within the quadrat.# Mostly dead / dying.","","49 km NW from Iron Knob.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","18/10/85",-32.46911,136.72785,"decimal degrees","Maireana triptera","1985-10-18","native","EPSG:20253","verified",,
"RVPO64211-275380","RVPO64211-275380","RV","","D","PLAYFAIR R.M. Roger | BENNETT F.J. Fiona","","251-500m",733706,6340228,-33.0514166,137.5029115,"Z01935","Euphorbia terracina","EUPHORBIACEAE","False Caper","Collected using the DEWNR Roadside Vegetation Survey Methodology","Acacia ligulata Open Shrubland","Lincoln HWY 2.6 km WNW of Mullaquana","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","25/11/02",-33.0514166,137.5029115,"decimal degrees","Euphorbia terracina","2002-11-25","introduced","EPSG:20253","verification required",,
"RVPE35134-1","RVPE35134-1","RV","","D","TELFER W.R. Wendy","","51-100m",266589,6345541,-33.00360196,138.5015942,"C01605","Acacia pycnantha","LEGUMINOSAE","Golden Wattle","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic and native Grassland ( Stipa sp.  Danthonia sp.)","Caltowie-Tarcowie RD 5.9 km SSW of Tarcowie","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","31/10/00",-33.00360196,138.5015942,"decimal degrees","Acacia pycnantha","2000-10-31","native","EPSG:20254","verification required",,
"RVPO3192-10030","RVPO3192-10030","RV","","D","PLAYFAIR R.M. Roger | ROTHE (EX LAVER) S.M. Samantha","","101-250m",321214,6149552,-34.78056224,139.0460686,"M20078","Eucalyptus camaldulensis ssp.","MYRTACEAE","River Red Gum","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus camaldulensis woodland with grassy understorey","Ken Hicks RD 0.9 km SSW of Mount Pleasant","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","19/12/97",-34.78056224,139.0460686,"decimal degrees","Eucalyptus camaldulensis ssp.","1997-12-19","native","EPSG:20254","verification required",,
"RVPO41402-180279","RVPO41402-180279","RV","","D","WEDDERBURN S.D. Scotte | O'CONNOR P.J. Patrick","","501-1000m",342114,6375562,-32.7464741,139.3147607,"S20257","Myoporum platycarpum ssp.","MYOPORACEAE","False Sandalwood","Collected using the DEWNR Roadside Vegetation Survey Methodology","Myoporum platycarpum Low Open Woodland","Barrier HWY 2.4 km WSW of Paratoo","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","19/3/01",-32.7464741,139.3147607,"decimal degrees","Myoporum platycarpum ssp.","2001-03-19","native","EPSG:20254","verification required",,
"RVPO77858-347900","RVPO77858-347900","RV","","D","SUTHERLAND R.L. Robyn | TELFER S. Sarah","","101-250m",375879,6224694,-34.1112244,139.654233,"K05661","Eucalyptus socialis (NC)","MYRTACEAE","Beaked Red Mallee","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus socialis  +/ - E. gracilis +/- Myoporum platycarpum Mallee","Morgan - Blanchetown RD 1.7 km WNW of Wombats Rest","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","29/2/04",-34.1112244,139.654233,"decimal degrees","Eucalyptus socialis (NC)","2004-02-29","native","EPSG:20254","verification required",,
"RVPU11061-5634","RVPU11061-5634","RV","","D","CLARK P.D. Peter | BEVAN K. Kirsty","","251-500m",569643,6284793,-33.57428336,135.7504071,"C15065","Gramineae sp.","GRAMINEAE","Grass Family","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus calycogona / E. brachycalyx Mallee","Elliston - Lock RD 1 km SSW of Lock","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","18/11/98",-33.57428336,135.7504071,"decimal degrees","Gramineae sp.","1998-11-18","native","EPSG:20253","verification required",,
"OPP825902-1","OPP825902-1","OP","AMLR THREATENED FLORA ECOLOGIST-GENERAL","D","MCKERRAL H. Helen | DAVIS L. Leo | CHESSON C. Claire | CHESSON C. Clive","","0-5m",291983,6087797,-35.33144,138.71134,"A00784","Caleana major","ORCHIDACEAE","Large Duck-orchid","Status = 2F  5B; B  of P. minor at same site.","","Area 4: at site adjacent to Finnis River.","Cox Scrub (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","3/11/17",-35.33144,138.71134,"decimal degrees","Caleana major","2017-11-03","native","EPSG:20254","verified",7,"individuals"
"RVPO63474-271500","RVPO63474-271500","RV","","D","KUBISCH R.V. Ronald | BATEMAN T.V. Teresa","","501-1000m",309261,6188583,-34.42664258,138.9242872,"A03636","Allocasuarina verticillata","CASUARINACEAE","Drooping Sheoak","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus leucoxylon ssp. Open Woodland","Branson RD 3.4 km NNE of Nain","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","4/4/02",-34.42664258,138.9242872,"decimal degrees","Allocasuarina verticillata","2002-04-04","native","EPSG:20254","verification required",,
"OPP178472-1512100","OPP178472-1512100","OP","WAITE CONSERVATION RESERVE","D","BUSHMAN W.H. Waldo","","5-50m",284631,6126952,-34.97711,138.64072,"G02327","Gonocarpus elatus","HALORAGACEAE","Hill Raspwort","With Lomandra densiflora.","","Waite Conservation Reserve. In Heritage Agreement 1262. Tank Ridge on upper NW-facing slope roughly 50 m ENE of tank.","1262 (HA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","2/9/02",-34.97711,138.64072,"decimal degrees","Gonocarpus elatus","2002-09-02","native","EPSG:20254","verified",,
"SUP17046-44687","SUP17046-44687","SU","NORTH WESTERN EYRE PENINSULA","D","CARRUTHERS S.M. Sandy | KENNY S.D. Sue","","51-100m",541674,6299909,-33.43941,135.44835,"U32242","Ptilotus spathulatus","AMARANTHACEAE","Pussy-tails","","","From Warramboo  head south for 22.7 km. Take Elliston turn off. At 14.3 km there is main intersection  keep heading west. Note grid across road. Continue for 2.9 km and should reach a second grid. Site is 5 km from first grid or 2.1 km from second grid. Head into site from road and jump fence hea","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","13/10/99",-33.43941,135.44835,"decimal degrees","Ptilotus spathulatus","1999-10-13","native","EPSG:20253","verified",,
"OPP549898-6","OPP549898-6","OP","MONARTO RESTORATION PROJECT - SURVEY","M","HORNER B. Briony","","101-250m",331607,6113233,-35.10967,139.15227,"Q00536","Lepidosperma viscidum","CYPERACEAE","Sticky Sword-sedge","Number observed = 35","","Site 3 - 10.6ha","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","1/6/12",-35.10967,139.15227,"decimal degrees","Lepidosperma viscidum","2012-06","native","EPSG:20254","verified",,
"OPP799227-24","OPP799227-24","OP","BDBSA RESERVES DATABASE","D","ASHMAN G.W. Glyn | LEHMAN K. Kay","","1-10km",418650,6141643,-34.86431,140.10999,"A01080","Hibbertia riparia (NC)","DILLENIACEAE","Guinea-flower","","**birds** suitable for chestnut quailthrush malleefowlstriped honeyeaterwhite-winged chough crested bellbirdgrey currawongmallee ringneckpurple-gaped honeyeateryellow-rumped pardalotespendid **Environmental Association**36%(Billiatt)**Hundred**5","CHESSON : 5","671 (HA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","12/7/90",-34.86431,140.10999,"decimal degrees","Hibbertia riparia (NC)","1990-07-12","native","EPSG:20254","verified",,
"SUP13306-26-AD99742031","SUP13306-26-AD99742031","SU","SOUTHERN EYRE PENINSULA","D","DAVIDSON L.G. Lee | HEARD L.M.B. Lee","AD99742031","5-50m",561088,6237543,-34.00094,135.6615,"G02407","Acrotriche cordata","EPACRIDACEAE","Blunt-leaf Ground-berry","","","Travel 800m from intersection.","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","12/10/95",-34.00094,135.6615,"decimal degrees","Acrotriche cordata","1995-10-12","native","EPSG:20253","verified",,
"OPP673888-1","OPP673888-1","OP","YORKE DISTRICT AERIAL BOXTHORN CONTROL","D","BROWN R.M. Bec (Rebecca) | ANDERSON T. Tim","","5-50m",720375,6130758,-34.94175,137.41307,"M02662","Lycium ferocissimum","SOLANACEAE","African Boxthorn","","","Flaherty''s Corner; Boxthorn control site - aerial application of Graslan herbicide","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","9/4/15",-34.94175,137.41307,"decimal degrees","Lycium ferocissimum","2015-04-09","introduced","EPSG:20253","verified",1,"individuals"
"RVPO3047-13223","RVPO3047-13223","RV","","D","PLAYFAIR R.M. Roger | ROTHE (EX LAVER) S.M. Samantha","","501-1000m",323529,6147979,-34.79514067,139.0710255,"S00229","Dactylis glomerata","GRAMINEAE","Cocksfoot","Collected using the DEWNR Roadside Vegetation Survey Methodology","Mixed grassland dominated by alien grass species","Mc Gormans RD 3 km NNE of Tungkillo","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","17/12/97",-34.79514067,139.0710255,"decimal degrees","Dactylis glomerata","1997-12-17","introduced","EPSG:20254","verification required",,
"OPP546891-153","OPP546891-153","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS","D","PICKETT M.I. Marcus","","101-250m",300500,6158500,-34.69609,138.82195,"Z02195","Lythrum hyssopifolia","LYTHRACEAE","Lesser Loosestrife","","","7 km WSW of Williamstown","Para Wirra (CP)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","6/6/12",-34.69609,138.82195,"decimal degrees","Lythrum hyssopifolia","2012-06-06","native","EPSG:20254","verified",,
"RVPO11424-43361","RVPO11424-43361","RV","","D","PLAYFAIR R.M. Roger | PARRY K. Karen","","1-10km",767774,6396209,-32.5392115,137.8512435,"M20166","Salvia verbenaca var.","LABIATAE","Wild Sage","Collected using the DEWNR Roadside Vegetation Survey Methodology","Maireana pyramidata Low Shrubland","Port Augusta - Port Wakefield RD 2.1 km NNE of Port Paterson","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","20/11/98",-32.5392115,137.8512435,"decimal degrees","Salvia verbenaca var.","1998-11-20","introduced","EPSG:20253","verification required",,
"RVPO46943-201824","RVPO46943-201824","RV","","D","CLARK P.D. Peter","","101-250m",280519,6260899,-33.76929777,138.6299697,"E01658","Chamaecytisus palmensis","LEGUMINOSAE","Tree Lucerne","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic Grassland","Blockers (86) RD 3.6 km SSE of Barinia","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","14/11/01",-33.76929777,138.6299697,"decimal degrees","Chamaecytisus palmensis","2001-11-14","introduced","EPSG:20254","verification required",,
"RVPO91383-413119","RVPO91383-413119","RV","","D","GRIFFIN C. Clare | EDWARDS J.S. Jeff","","101-250m",748573,6221998,-34.11333432,137.6949164,"C10149","Bromus sp.","GRAMINEAE","Brome","Collected using the DEWNR Roadside Vegetation Survey Methodology","Pittosporum angustifolium +/- A. hakeoides +/- A. ligulata +/- Geijera linearifolia +/- Nitraria billardierei +/- Olearia axillaris Tall Shrubland","Unknown RD 6.2 km WSW of Cunliffe","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","12/3/09",-34.11333432,137.6949164,"decimal degrees","Bromus sp.","2009-03-12","native","EPSG:20253","verification required",,
"RVPO73777-326739","RVPO73777-326739","RV","","D","CLARK P.D. Peter | HIGGINS G.M. Graeme","","251-500m",265127,6199665,-34.31771041,138.4474179,"W10147","Brassica sp.","CRUCIFERAE","","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus oleosa / E. brachycalyx Mallee","Pinery-Long Plains Road (39) RD 1.3 km WSW of Pinery","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","12/1/04",-34.31771041,138.4474179,"decimal degrees","Brassica sp.","2004-01-12","introduced","EPSG:20254","verification required",,
"OPP800658-53","OPP800658-53","OP","BDBSA RESERVES DATABASE","D","HODDER M.W. Mike | CROFT T.S. Tim","","251-500m",430389,5873156,-37.28559,140.2147,"A02412","Stenanthera conostephioides","EPACRIDACEAE","Flame Heath","","","Formerly SF3 Konetta NFR","Konetta (NF)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","25/2/87",-37.28559,140.2147,"decimal degrees","Stenanthera conostephioides","1987-02-25","native","EPSG:20254","verified",,
"SUP27034-218794","SUP27034-218794","SU","EYRE PENINSULA FAUNA","D","CANTY P.D. Peter | LANG P.J. Peter","","5-50m",339904,6471691,-31.87932,133.30738,"M03250","Olearia muelleri","COMPOSITAE","Mueller's Daisy-bush","","","PP 162. Site approx. 90 m on 268 degrees bearing from WPT CHA11T. Eucalyptus oleosa E. gracilis open mallee over Eremophila. wedii Acacia. merrallii Eremophila glabra and dense Westringia rigida. Digging hard.","619 (HA)","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","27/9/05",-31.87932,133.30738,"decimal degrees","Olearia muelleri","2005-09-27","native","EPSG:20253","verified",,
"RVPU10773-5306","RVPU10773-5306","RV","","D","CLARK P.D. Peter | BEVAN K. Kirsty","","251-500m",558886,6283986,-33.58220865,135.6345603,"Z10303","Danthonia sp. (NC)","GRAMINEAE","Wallaby-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus oleosa ssp. oleosa Mallee","Elliston - Lock RD 11.4 km WSW of Lock","","en","South Australia Department of Environment and Water","SA Flora Test","SA DEW","Australia","AU","South Australia","Plantae","present","HumanObservation","18/11/98",-33.58220865,135.6345603,"decimal degrees","Danthonia sp. (NC)","1998-11-18","native","EPSG:20253","verification required",,
